F_4C_1_1	F_4C_1_2	F_4C_1_3	F_4C_1_4	F_4C_2_1	F_4C_2_2	F_4C_2_3	F_4C_2_4	F_4C_3_1	F_4C_3_2	F_4C_3_3	F_4C_3_4	F_4C_4_1	F_4C_4_2	F_4C_4_3	F_4C_4_4	PS_4C_1_1	PS_4C_1_2	PS_4C_1_3	PS_4C_1_4	PS_4C_2_1	PS_4C_2_2	PS_4C_2_3	PS_4C_2_4	PS_4C_3_1	PS_4C_3_2	PS_4C_3_3	PS_4C_3_4	PS_4C_4_1	PS_4C_4_2	PS_4C_4_3	PS_4C_4_4	PS_4C_5_1	PS_4C_5_2	PS_4C_5_3	PS_4C_5_4
Ttc21b	0	0	0	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0
Ttc21a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenc1	0.75	0.75	0.75	0.75	0.5	1	0.5	0.75	0.75	0.75	1	1	0.5	0.75	0.75	0.75	0.5	0.75	0.5	0.5	0.75	1	0.75	0.75	0.5	0.5	0.5	0.25	0.5	0.75	0.5	0.5	0.25	0.75	0.25	0.75
A330035P11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930406D18Rik	0.75	0.5	0.5	0.5	0.5	0.5	0.25	0.75	0.5	0.75	0.75	NA	0.5	0.25	0.75	0.75	0.5	0.75	0.25	0	0.75	0.75	0.5	0.75	0.5	0.25	0.5	0.5	0.75	0.25	0	0.25	0.75	0.5	0.75	0.75
Ccl11	0	0	0	0	0.25	0.25	1	1	0.25	0	0	NA	0.75	0	0.75	0.25	0	0.75	0.25	0.25	0	0	0	0	0	0.5	0	0	0.25	0	0	0.25	0.25	0.75	0.5	0
Ccl12	0.25	1	0.5	0.5	NA	1	NA	0.75	0.5	0.75	0.75	0	0.75	0.5	1	0.75	0.75	1	0.75	0.5	1	0.75	1	0.5	0.5	0.75	0.5	1	1	0.75	0.25	0.75	0.75	0.75	0.5	0.5
Ccl17	0	0	0.25	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.5	0.75	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0.25	0	0
Ccl19	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a11	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpm6a	0.25	0	0.25	0	0.75	0	0.5	0	0	0.5	0	NA	0.25	0	0	0	1	0	0.25	0	0.25	0	0	0	0	0.75	0	0	0	0	0.25	0.25	0	0.25	0.25	0.25
Gpm6b	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0	0	0.25	0	0	NA	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0
Cpxcr1	0.75	0.5	1	NA	1	0.5	0	0.75	NA	0	0	NA	0	NA	0	0	0.5	NA	0.75	NA	NA	0	0	1	0.75	1	1	0.5	NA	NA	NA	NA	0	NA	NA	1
Cd8a	0	0.25	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730480H06Rik	0.5	0.5	0.75	0.75	NA	0.75	0.75	1	1	0.5	0.25	NA	0.75	1	0.75	1	NA	0	0.75	NA	0.75	1	1	NA	0.75	1	0.75	0.75	1	0.75	1	0.75	1	0.75	1	0.75
4933432I09Rik	0	0	0.25	0	0.25	0	0	0	0.25	0	0	1	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0	0	0	0.25	0.25	0	0	0.25
Fam132a	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0.75	0	0.25	0	0.25	0
Pknox1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stradb	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930511E03Rik	NA	0	0	0	0.5	0	0	0.25	0	0	0	NA	0.25	NA	0	0	0	0.75	0	NA	0	0.25	0.25	0	0.5	0.25	0	0	0	0.25	0.5	0.25	0	0.5	0	0
Nrn1	0	0	0	0	0	0	NA	0	0	0.25	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd81	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd83	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0.25	0.25	0.25	1	0	0	0	0	0	0	0	0	0.25	0	0	0
Cd82	0	0	0	0	0	0	0	0	0	0	0	NA	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0.25
Cd84	0.25	0	0.5	0.75	NA	0.75	0.5	NA	0.25	0	0.5	NA	0.5	0.5	0.75	0.5	0.75	NA	0.75	1	0.25	0.25	0.25	0	0	0.5	0	0	0.75	0.25	0	0.25	NA	0.5	1	0.25
Cd86	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0	0	0	1	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Taf4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf4b	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930428E07Rik	0.25	0	0	0	0	0	0	0	0.25	0	0	NA	0	0.25	0.5	0	0	NA	0	NA	1	0.5	NA	0	0	0	0	0	0	0.25	0.25	0.5	0	0.25	0.25	0.5
LOC100040786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pfdn1	0	0	0	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Pfdn2	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0	0
Pfdn5	0	0.25	0.5	0	0	0	0	0	0	0.25	0	NA	0	0.25	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn4	0	0	0	0.25	0	0	0	0.25	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn6	0	0	0	0.25	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0.25	0
Zfp541	NA	0	0.5	0	0.5	0.25	0	0.5	0	0	0.5	NA	1	0.5	0.5	0.5	0.25	NA	0.75	1	0.75	0.25	0.5	0.5	0.5	0.5	0.75	1	0.25	0.25	0.75	0.5	1	0.75	0	0.75
Vtcn1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25
Fetub	0.25	0	0.25	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0.25	0	0.25	0	0.25	0	0.25	0	0	0	0
Gabpb2	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25
Glyctk	0	0	0	0	0	0.25	0	0	0.25	0	0.25	NA	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
4933406G16Rik	0	0.5	NA	0.25	0	NA	0.5	1	0.25	0.25	0.75	NA	0.5	0	0.5	0.25	0.5	NA	1	0.75	0.25	0.5	0.25	0	1	1	0	0.5	0.5	0.75	0.25	0.5	0.25	0.25	1	1
3425401B19Rik	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd300lg	0.25	0.5	0.25	0.25	0.25	0.25	0	0.25	0.25	0.5	0.25	NA	0.25	0.25	0.5	0.25	0.25	0.25	0.75	0	0.25	0.5	0.5	0.5	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25
Lats2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Lats1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd300ld	0.25	0	0	0	0	0	0	0.25	0	0	0.25	NA	0	0.25	0.25	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0.25	0.5	0	0	0	0.25	0.25	0.25	0
Cd300lb	0.25	0.25	0.25	0.25	0	0.25	0	0	0	0.25	0	NA	0	0	0	0	0.5	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0
4930451I11Rik	0.75	0.5	0.5	0.5	0.25	0	0	0	0.5	0.5	0.5	NA	0.25	0.25	0	0.25	0.25	0.25	0.25	0	0.25	1	0.5	0.5	0.5	0.5	0.25	0	0.25	0	0.5	0.25	0.5	0.5	0.25	0.5
Cd300lh	0	1	0.75	0.75	0.25	0.25	0	0.5	0.5	0.5	0	0	0	0.25	0.25	0.5	0.75	0.5	NA	0	0.25	0.5	0.25	0.5	0.25	0	0.25	0.5	0	0.25	0.75	0.25	0.25	0.5	0.5	0.5
Ikbkb	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Pin1rt1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25
Ppp6c	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikbkg	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikbke	0	0.25	0	0	0	0	0.25	0	0	0	0	NA	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0
8030443G20Rik	0	0	0	0	0.25	0	NA	0.5	0.25	0.25	0.25	NA	0	0.5	0.25	0.25	0.25	0.25	0.75	0.75	0	0	0.25	0	0.25	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0	0.25	0	0
Tek	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4598	0	0	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhl3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhl1	0.25	0	0	0	0	0.25	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhl4	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhl5	0.5	0	0.25	0.75	0	0.75	0	0.25	0	0.5	0.5	NA	0	0.5	0	0	NA	0	0	0	0.5	0.5	1	0.5	0.5	0.25	0.5	0.75	0.75	0.5	1	0.25	1	0.5	0.25	0.5
Tes	0	0.25	0	0.25	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	0.5	0.5	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0
Egfbp2	0	0.75	0	0.5	1	0.75	0.25	0.5	0.75	0.75	0.75	NA	0	1	0.5	0.5	0.25	1	1	1	0.75	0.5	0.75	0.75	0.5	0.5	0.75	0.5	0.5	0.5	0	0.25	0.75	0.5	0.5	0.5
Mir448	0.5	0.25	0.25	0.25	NA	0.75	0.75	NA	0	NA	1	NA	NA	NA	1	0	0.5	NA	1	NA	0	NA	0.5	NA	1	NA	NA	1	NA	NA	NA	NA	NA	0	0	NA
Gm6682	0	0.25	0.25	0	0.75	0	0.25	0.5	0	0	0	NA	0	0	0	0	1	0	0	0	0.25	0	0.25	0.25	0	0.25	0.5	0.25	0.5	0	0.25	0	0.25	0	0	0.25
Psmd14	0	0	0.25	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25
Psmd11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd10	0	0	0	0	0	0.25	0.25	0.25	0	0	NA	NA	0	0	0	1	0	0	0	0.75	0	0	0	0	0	0.25	0.25	0	0	NA	0.75	0.25	0	0	0	NA
Psmd13	0	0	0	0.5	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd12	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr152	0	0	0	0	1	NA	NA	0	0	0	0.5	NA	0.25	0.25	0.25	0.25	0	0	0	0	1	0	0	0	0	0.25	0	0	0	0	NA	0	0	0	0	NA
Olfr153	0.25	NA	NA	NA	NA	0.75	1	0	0.5	1	1	0	0	0.5	0.5	0.25	0	0	0.5	0	1	0	0	1	0	0.25	0	NA	0	1	0.5	0	0.5	0.5	0	0
Olfr150	0.25	0.25	0	1	0	0	0	NA	NA	NA	0	NA	0	NA	0	1	1	0.5	NA	NA	0.25	1	NA	0.25	0	0.5	0	NA	NA	NA	NA	NA	0	NA	NA	1
Olfr151	0	0	0	0	NA	NA	0	0	0	0	0	NA	0	0	0	0.25	NA	0	0.25	0	0	0.25	0	0.25	0	0	NA	0	NA	0	0	0	0.25	0.25	0.25	0.75
Olfr156	0.25	0.25	0.25	0	0	0	NA	0.25	0	0	0	NA	0	0.25	0	0	0	0.25	0.25	0.25	0.5	0	0	0	0.25	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0
Olfr157	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0	0	0
Olfr154	0	0	0.5	0	1	0.25	0.75	NA	0.25	NA	0	NA	NA	0.5	0	0	0.75	0.25	0	0.25	0	0.25	0.5	NA	0.25	0.25	0.25	0	0.25	0.25	0	NA	0.5	0	0	0
Olfr155	0.25	0.5	0.25	0.5	0.25	0	0	0.25	0.5	0.75	0.25	NA	0.25	0.25	0	0	0.5	NA	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.75	0	0	0.25	0	0.5	0.75	0.25
2900026A02Rik	0.75	0.75	0.75	1	0.25	0.25	0.25	0.25	0.25	0.5	0.25	1	0.5	0.5	0.25	0.25	0	0.5	1	0.5	0.25	0.25	0.25	0.25	0.5	0.75	0.5	0.5	0	0.25	0.5	0.5	0.25	0.25	0.25	0.25
Tmem144	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0
Gm20268	0.25	0.25	0	NA	0.25	0	0	0	0	0.25	0.5	NA	0.25	0	0	0	NA	0	0	0	0	0	0.25	0.25	NA	1	0.5	0	0.25	0	NA	0.25	0	NA	NA	0
1810018F18Rik	0	NA	0.25	0.5	0.25	0.25	0.75	0.25	0	0	0	NA	0.25	0.5	0	0	0	NA	1	0	0.25	0	0	0	0.25	0.25	0	0	0	0	0	0	0.5	0	0.25	0
Vps9d1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cspp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cntrob	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Gm9758	0	0.25	0.25	0.25	0.5	0.5	0.5	0	0	0.25	0	0	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0.25	0	0.5	0.5	0	0	0.25	0.25	0	0.25	0	0.25	0.25	0
Slc8a1	0	0	0.25	0	0.25	NA	0.25	0	0	0.25	0	NA	0	0.25	0	NA	1	0.75	0.75	NA	0.25	0	0.5	0	0.5	0.5	0.25	1	0	0.75	0.5	0	0.75	0	0	1
Slc8a3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc8a2	0.5	0.75	0.75	0.75	0.5	0	0	0.25	0.75	0.75	0.5	NA	0.75	0.25	0.25	0.5	0	0	0.25	0	0.25	0.25	0.5	0.5	0.5	0.25	0.25	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25
4931409K22Rik	0	0	0	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0
Mms19	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam86	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.5	1	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0.25
Bmp7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp6	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp5	0	0.25	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	0	1	0.5	0.25	0	0	0	0.5	NA	0.25	0.25	0.75	0	0.5	0	0	0.25	0	0	0.5
Bmp4	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp3	0	0	0.25	0	0	0	0	0	0	0.25	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtbd6	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp1	0	0	0	0	0	0	0	0	0	0	0	NA	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Gm3435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm5885	0	0.25	0	0	NA	0	NA	1	0.25	0	0.25	NA	0	1	0.5	0	0	1	1	NA	0.5	NA	1	0.5	NA	0.25	0	0.5	0.75	0.5	NA	NA	0	0	NA	0
Rxra	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Rxrb	0.25	0.25	0.5	0.5	0.25	0	0.25	0.25	0.5	0.5	0.5	0	0.25	0.5	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.5	0.5
Gm5886	1	NA	0	0.25	NA	NA	0.75	NA	NA	0	0.5	NA	NA	NA	0.25	0	0	0	NA	NA	0	0.5	0.25	0.75	NA	1	0	0	NA	1	1	0	NA	0	0	0.25
Ikbkap	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mndal	NA	NA	0	0	0	NA	NA	0	0.25	0	0	NA	NA	0.25	0	0	NA	0	0	NA	0	0	0	0	0.25	0	0	0	1	0	0	0	1	0	0.25	0.25
Hspbap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bpifb3	0.25	0.25	0.25	0	0.25	0	0	0	0.25	0	0.25	NA	0	0.25	0	0	0.5	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0	0	0.25	0	0	0.25	0	0	0	0.25	0.25
Bpifb2	0.25	0.25	0.5	0.5	0	0	0.5	0	0.5	0.75	0.25	NA	0.25	0.25	0.25	0.25	0.25	NA	0.25	0.75	0.5	0.25	0.75	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.75	0.5
Bpifb1	0	0	0	0	0	0.25	0.25	0	0	0	0	NA	0.25	0.25	0	0.25	0.25	0.25	0	0.5	0.25	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0	0.25	0
Bpifb6	0.25	0.25	0	0	0.5	0.75	0.25	0.25	0.25	0.25	0.5	0	0.25	0	0	0	0.25	NA	0.5	0.5	0.5	0.25	0.5	0	0.25	0.5	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0
Bpifb5	0.25	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	NA	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0.25	0
Bpifb4	0.25	0.25	0	0	0.5	0	0.25	1	0.25	0	0.25	NA	0	0	0	0	1	0.5	0.5	0.75	0.25	0.25	0.25	0.25	0	0	0.5	0	0.25	0	0	0	0	0.25	0.25	0
A530054K11Rik	0.25	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	1
Ssty2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4933427E13Rik	0	0	0.5	0.5	0.75	1	1	NA	0.5	NA	0.25	NA	0.75	1	0.5	0.75	1	1	1	1	1	1	0.5	0.5	1	1	0.75	1	1	1	0.5	0.75	0.75	1	0.75	0.75
Pramef6	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.25	0	NA	1	1	1	0	0.25	0	1	0.5	0.25	0.25	0.25	0	0	0	0	0	0	0.25	0
Krt6b	0	0	0	0	0	0	0	0	0	0	0	NA	0	0.25	0	0	0	1	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0
Rtf1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt6a	0	0	0	0	0	0	0	0.25	0	0	0	NA	0	0	0	0	0.25	0	0.5	NA	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0
Pramef8	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4861	0.25	0	0.25	0	0.25	0.25	0	0.25	0	0.25	0	NA	0.25	0	0	0.25	0.5	0.25	0.75	0.25	0.25	0.25	0.5	0.75	0.75	0.75	0.75	0.75	0	0.25	0.25	0.5	0.25	0	0	0
Snrpd3	0.25	0	0.25	0	0	0	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25
Snrpd2	0	0	0	0	0	0	0	0	0	0	0.25	NA	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrpd1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mak16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr5b	0	0.25	0.25	0	0.25	0	0	0.25	0	0	0	NA	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0.25
Tex13a	0	0	0	0	0.5	NA	NA	0.75	0	1	0.5	NA	0.25	0	0.25	0	0	0.25	0	NA	0	0	0	NA	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0.5
2610008E11Rik	0.25	0.25	0.25	0	0	NA	0.25	1	0	0	0	NA	0.25	0.25	0.5	0.5	0	NA	1	0	1	0.75	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0
C130030K03Rik	0	0	0	0	0	0	1	1	NA	0	0	NA	0	0	0	0	NA	0	NA	NA	1	0.5	1	1	0	0.75	0	NA	0	0	1	NA	NA	0	0	0
Per2	0	0.25	0	0.5	0	0	0	0	0	0	0	NA	0	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xiap	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25
Cnbd2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runx1t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25
