MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
Ucn	0	0	0	0.25	0	0	0.25	0.5	0	0	0.25	0.25	0	0	0.25	0.5	0	0	0.25	0.25	0.25	0.25	0.25	0.75	0.5	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0.5	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0.25	0	0
Snrnp70	0	0.25	0.25	0.75	0	0.25	0.25	0.75	0.5	0.5	0.75	0.5	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0.25	0.75	0.25	0.25	0.25	0	0	0	0	0	0	0.5	0.5	0.25	0	0	0.25	0	0	0.5	0	0.25	0
Speer1-ps1	NA	0	0.25	NA	0	0.25	NA	0	0	NA	NA	0.75	0.25	0.75	NA	NA	0	NA	NA	0	NA	NA	0.5	0	0	0.25	1	1	0	NA	0.75	NA	NA	1	NA	1	NA	NA	0.5	0	NA	0.5	NA	1	NA	1	0.75	0.25	0
Gm12603	0.25	0	0	NA	0	0	NA	0	0	NA	0	0	0.25	NA	0	NA	NA	NA	NA	NA	0.25	NA	0	NA	NA	0.25	0.5	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	NA	0.5	0	0
Rhox6	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	NA	0.25	0	0.25	0	0	0.25	0.5	0	1	0.25	1	1	0	0.75	0.5	0	NA	1	0.25	0.75	1	NA	NA	0.5	0.5	0.75	NA	0.75	0.5	0.5	0.5	0	0
Rhox7	0	0	0.25	0.25	0	0.25	0	0	0	0.75	0	0	0.25	0.25	0.25	NA	0	0.5	0	0.25	NA	NA	0.75	0.5	1	0.5	1	NA	NA	1	1	NA	NA	1	NA	1	1	0.75	0.5	0.75	0.75	1	NA	NA	1	NA	0.75	0	0.25
Rhox8	0	0	0	NA	0.25	0.25	NA	0	0	0	0	NA	0.25	0.5	NA	0	0.25	0	0.25	0.25	NA	0	0.5	0	0.25	0.5	0.75	NA	0.75	0	0	0	0.5	0.75	0.5	0.5	0.75	0	0	0.75	0	0.75	0.25	0	1	NA	0.75	0	0
Rhox9	0	0	0	0	0	0	NA	0	0	0.25	0	0	0	0.25	NA	NA	1	0.25	NA	0.75	0	0	0	0	NA	0	1	NA	0	NA	0.25	0	NA	NA	0.5	0.75	0.75	NA	NA	0.5	0.75	0.75	NA	1	NA	1	0.5	0	0
Eed	0	0	0	0	0	NA	0.25	0	0	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	1	0	0	0.5	0.5	0	0	0	0	0	0
Rab5a	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0.25	0	1	0	0	0	0.25	0	0	0.25	0.5	0	0	0
Rab5c	0.25	0.25	0.25	0	0.25	0	0.5	0.25	0.5	0	0.25	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.5	0	0	0.5	0	0	0.25	0.25	0	0.5	0.25	0	0.25	0	0.25	0.5	0	0	0	0.5	0.25	0.25	0.25	0.25	0.25	0.25
Rab5b	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0.5	0.5	0	0	0.25	0	NA	0	0	NA	0.25	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0
Nvl	NA	0.25	0	0	0.25	NA	0	NA	NA	0	1	NA	0.25	0	0	0	0	0.25	NA	0	NA	0	NA	0	0	0	0	0	0.25	0.5	0.25	0.5	0.75	0	0	0.25	0.5	1	0	0	0.5	0	0	0.25	0	0.25	0	0.25	0.25
Camp	0.5	0	0.25	NA	1	1	0.5	0.75	0.5	0.5	0.75	0.5	0.5	0.25	0.75	0.75	0.5	0.75	0.5	0.5	0.25	0.25	0.25	0	0.5	0.25	1	0.75	0.75	0.75	0.75	0.75	1	1	0.75	0.75	1	1	1	0.75	NA	1	1	1	0.75	0.75	0.75	0	0.75
4930524O08Rik	0	0	0	0.25	0	0	NA	0	0.25	0	NA	0	0	0.5	0.5	1	0	0.25	0.25	0	0.25	1	0	0.5	0.25	0.25	0.75	1	0.25	0.75	NA	0.25	NA	NA	0.5	1	1	NA	0	0.75	0.75	0.25	0.75	1	NA	0.5	0.5	0	0
Pcdh20	0	0	0	0	0	NA	0	NA	NA	0	0	0	0	NA	0	0.25	0	NA	0.25	0	0	NA	0	0	0	0.25	NA	NA	0	0	0	0.25	0.5	0	0	1	0	0.25	0.25	0.75	1	0.5	0	0.25	0.25	0	0.5	0	0
Tmigd1	NA	1	1	NA	1	0.5	NA	1	0	NA	NA	NA	0.75	0	NA	NA	1	NA	NA	NA	NA	0	NA	NA	0	0	NA	1	0.5	0.5	0	0.75	NA	1	1	NA	NA	NA	1	0.75	NA	NA	NA	0.5	1	1	0.75	0.75	1
Tprn	0	0	0	0	0	0	0.5	0	0	0	0	0	0	NA	0.5	0.25	0	0	0.25	0.25	NA	0	0.25	NA	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.25	0	0	0.25	0.25	0	0	0.25	0	0	0
Chga	0	0.25	0.25	0	0	0.25	0.25	0	NA	0	0	0	0.25	0	0	1	NA	0	0	0	0	0	0	NA	1	0	0.5	0	0.25	0.25	0.5	0	0.5	0.75	0	0.25	0.25	0.75	NA	0.25	0.75	0.25	0.75	0	0.25	0.5	0.25	0.25	0.25
Fam227b	0	0	0	0	0	0	NA	0.25	NA	0	0	NA	0	0	NA	0	0	0	0.25	0.25	0	0	0	NA	NA	0	NA	NA	0	NA	0.5	NA	0.25	0	0	0	0	0.25	0	0	0.75	0	0.75	0	0	NA	0	0	0.25
Wnt16	0	0	0	1	0	0	0	0.25	0	0	0	0	0	0	NA	0	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0.5	NA	0.25	0.25	NA	0.25	1	0.5	1	0.25	0	0.25	0.25	1	0.25	0.25	0.25	0.25	0	0
G6pd2	NA	0	0.25	NA	0	0.25	NA	NA	NA	0	0	0	0.25	1	NA	NA	NA	NA	1	NA	0.25	NA	0.25	0.25	0.5	0.5	1	NA	0.5	0.75	NA	NA	NA	1	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	0.5	0.75	0.25	0
Fam227a	0	0	0.25	0	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0	NA	0	0.25	0.25	0.25	0	NA	0	0.25	0.25	NA	0	0	0.5	0.5	0.25	0	0	0.25	0	0.25	0.5	0.25	0.5	0	0.5	NA	0	0.25	0.25	0.25	0	0.25	0	0.25
Bcas1os2	0	0.25	0.25	0	0.25	0.25	NA	0	0	0	0	0.25	0.25	0	0.5	0.75	0	0	0	0.25	0	0.75	0	NA	0.25	0.25	0.75	NA	0	0.5	NA	0	0.75	0.25	0	1	0.75	0	NA	0.5	0.5	0.25	0.5	NA	0.5	0.75	0.5	0.25	0.25
Wnt11	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0.25	0.25	0	0	0	0.5	0	0	0.25	0	0	0.25	0	0.5	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0.25	0.25	0	0.25	0	0
Zdhhc15	0	0	0	0	0	0	0	0	0	1	0	1	0	0	NA	0.5	0	0.5	NA	NA	NA	0.5	0.75	0	0.75	0	0	0	1	1	0.5	0	0.5	NA	NA	1	0	0.25	0.75	0	NA	0	0.5	1	0.5	0	0.25	0	0
Kcnj2	0	0	0	NA	0	0	NA	0	0	NA	NA	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	NA	0	0.25	0	0	0	NA	0.25	0.25	0	NA	0	0.25	0	0.5	0	0	0	NA	0.25	0	0.25	0.25	0	0
Kcnj1	0	0	0.25	0	0	0.25	NA	NA	0	0.25	0	0	0	0.75	0.5	0.75	0.5	0.5	0.5	0.5	0.25	0.5	0.75	NA	0.5	0.25	1	1	0.5	1	1	0.5	1	1	0.75	1	0.75	1	NA	1	NA	0.75	1	1	1	0.75	0.75	0	0
C1ql3	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0.25	0	0	1	0	0	0	0	0.75	0	0	0	0	0.25	0	0.25	0	0	0	0
C1ql4	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0.5	0.75	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0.25	0.25	0.75	0.25	0.25	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0
Piwil2	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25	1	0.75	0.25	0.5	0.75	0.75	0.75	0.25	1	0.25	0.5	0	0.25	1	1	0.5	1	0.5	0.25	1	1	0.5	1	0.75	0.75	0.25	1	0.75	0.75	1	1	0.75	0.75	0.75	0	0.25
Piwil1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	0.5	0.25	0.5	0	0.75	0.25	0.5	0.25	1	1	0.25	0.75	0.75	0.75	0.75	0.5	0.5	1	1	1	1	0.5	1	0.25	0.75	1	0.75	0.75	1	1	1	0.75	0.75	1
Zdhhc12	0	0.25	0.25	0	0.5	0.25	0.5	0.5	0.75	0.25	0.75	0.75	0.5	0.25	0.75	0.25	0.5	0.25	0.5	0.75	0.25	0.25	0.25	0	0.25	0	0.25	0.75	0.5	0	0	0	0.75	0.25	0.25	0.25	0	0	0.25	0.25	1	0	0.25	0.25	0.25	0	0.25	0.25	0.5
Kcnj9	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.75	0.25	0	0	0	0	0	0	NA	0.25	0.25	1	0	NA	0.75	0.5	0.25	0	0.75	0.5	0.75	1	NA	0.75	1	NA	0.5	0.75	NA	NA	0.75	0.5	0	0
Nbr1	0	0	0	0	0.25	0.25	0.25	1	0	0	1	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.5	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.5
Zdhhc19	0.5	0.25	0.25	0.5	0.25	0	0.25	0.5	0.5	0.25	0.5	0.25	0	0.5	0.5	0.75	0.25	0.5	0.5	0.5	0.75	0.75	0.25	0.5	0.75	0.25	0.75	0.75	0.5	0.75	0.75	0.5	0.75	0.75	0.75	0.5	0.75	0.75	0.75	0.75	0.75	0.5	1	0.75	0.75	1	0.75	0	0
Zdhhc18	0	0	0	0	0	0.25	0.25	0	0.25	0.5	0.75	0	0.25	0.25	0	0.5	0.5	0.25	0.25	0	0.25	0.75	0.5	0	0	0	0	0	0	0.25	0	0.25	0.5	0.25	0	0.25	0.5	0.5	0.5	0	0	0.25	0.25	0.5	0.25	0.25	0	0.25	0
Crem	1	1	0.25	1	1	0.5	1	NA	0	1	0	1	0.75	0	NA	NA	NA	NA	0	NA	0	1	0	0	NA	0.25	1	0.5	NA	0.5	0.5	0	0.25	1	0.5	1	NA	NA	NA	NA	1	0	NA	NA	0.75	1	0.5	0.75	1
Kat6b	0.25	0	0	0.25	0	0	0.25	0	0	0	0.5	0	0	0.75	0.25	0.75	0.25	0	0.25	0	0.25	0.25	0.25	0	0.75	0	0	1	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0
Kat6a	0	0	0	0	0.25	0	0.5	0	0	0	0	0.25	0	0.25	0.25	0.75	0.5	0.25	0	0.25	0.5	0	0.5	0	0.25	0	0	0	0	0.25	0	0	0.5	0	0	0.25	0	0.5	0.5	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0
Bnipl	1	1	1	1	NA	1	NA	NA	1	1	NA	1	1	1	0	1	0.25	0	0.5	0.25	0	NA	NA	0	0	0.25	1	0.5	0.75	0.25	0.5	0	0.75	0.75	1	0.75	0.75	0.75	1	1	0	1	0.75	0.75	0.5	1	0.5	1	0.75
Hrh4	0	0	0	NA	0	0	NA	0.5	0	0	0	NA	0	0.25	NA	0.5	1	0.25	0	NA	NA	NA	1	0.25	NA	0.25	1	1	0.75	0.75	1	0.25	1	1	0.5	0.75	1	1	NA	1	1	0.5	0.75	1	NA	1	0.75	0	0
Ppp2r1a	0	0	0	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0.25	0.25	NA	0.5	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	NA	0	0.25	0	0	0	0
Ppp2r1b	0	0	0.25	0	0	0	0.25	0	0.5	1	0.75	0.75	0.25	0.75	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.75	0.5	0.25	0.75	0	0.25	0.5	0	0	0.25	0	0.75	0.25	0	0.5	0.25	0.5	0.5	0.25	0.5	0.25	0	0.5	0	0.25	0.25	0	0.25
Zfx	0	0	0	0.5	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0	0.25	0	0.75	0	NA	0	NA	0	0.25	0	0.25	0.25	0	0	1	NA	0.75	0	0.75	0	0	0	0	0	0	0	0
Zfr	0	0	0	0	0	0	0.5	0	1	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0.75	0	0.25	0	0	0	0	0	0	0.5	0.25	0	0	0	0	1	0	0	0.25	0	0	0
Nccrp1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.25	NA	0	0	0.75	0.25	0.25	0.25	1	0.25	1	0.25	1	0.25	0.25	0.5	0.5	0.75	0	0.5	0.25	0.25	0.25	0.25	0.5	0	0
Cep89	0.75	0.25	0.25	1	0	1	0.25	0.25	0	0.25	0.25	0.5	0.25	0	0	0	0	0	0	0	0	NA	NA	NA	0.25	0	0.25	NA	0	0	0	0	NA	0	0	0.25	0.75	0.5	0.25	0.25	0	0.25	0.25	0	0	0.25	0.25	0.25	0.25
Cep85	0	0	0	0.25	0.25	0	0.25	0	1	0.25	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0	0.5	0	0.25	0	0	NA	0	0	0	0	0	0
Ube2e1	0	0	0	0	0	0	0	0	0	0.5	NA	0	0	0.5	0.5	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0	0	0	0	0.75	0	0	0.5	0	0	0	0.25	0.25	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0
Ube2e3	0	0	0	0.25	0	0	0.5	0	0	0	0.25	0	0.25	0.25	0.5	0.25	0.25	0.25	0.75	0.75	0.5	0.25	0.25	0.5	0.25	0	0.25	0	0	0.25	0.5	0	0.25	0.25	0.5	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.75	0.5	0.25	0.25	0	0	0
Ube2e2	NA	0.25	0.25	0.25	NA	0	0	1	0.25	0.25	1	0	0.25	0	0	0.25	0.25	0	0.5	0	0.25	0	0.5	0	NA	0	0	0.25	0	NA	0.25	0	0.25	0.25	0.25	0.25	0	0.5	0	0	0	0	0	0.5	0.5	0.25	0	0.5	0.25
Tnks1bp1	0.25	1	0.5	NA	1	0.75	NA	NA	0.75	0.75	1	0.75	0.75	0.25	1	0.75	0	0.25	0	0.25	0.25	0	0.25	NA	0.25	0.25	0.75	0.5	0.25	0.5	0.75	0	0.75	0.5	0	0.75	0.25	0.75	0.25	0.5	0.5	0.5	1	1	0.75	0.5	0.5	1	1
Eya4	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.5	0.25	0.25	0	0.25	0	0.25	0.25	0	0	0.25	0.5	0	0	0.75	0.5	0.25	0.25	0.75	0	0.25	0.25	0.75	0	0.25	0.25	0.5	0	0.25	0.25	0	0	0
Sprr2a2	0.25	0	0.25	0.25	0	0	NA	0	0	0.25	0	0	0.25	0.75	0.25	0.75	0	0.75	0	0.5	0.25	1	0	0.5	0.75	0.25	1	1	0.5	1	0.75	0.5	1	0.75	1	1	1	NA	0.5	0.75	1	0.75	1	0.75	1	1	0.75	0	0
Eya1	NA	0	0	NA	0	0	NA	NA	NA	0	NA	0	0	NA	0	0	0	0	0.25	NA	0.5	0	0	NA	NA	0	0	NA	0.25	0	0	0	0	NA	0	0.25	NA	0.5	0	NA	0.25	0.25	0.5	0	0.25	0.75	0.25	0	0
Bnip1	0	0	0	NA	0	0	NA	0.5	0.25	NA	0	0	0.25	0	NA	1	0	1	0	0	0	0	0.5	0	0	0.25	1	NA	NA	NA	0.5	0	1	0	0	0.25	0	NA	0	0	0	0	1	0.5	0.25	0	0.25	0	0
Bnip2	0	0	0	0	0	0	0	0	1	0.25	NA	0	0	1	0	0.25	NA	0	NA	0	0	0	0	0	NA	0	0	0	0.5	0	0	0	0.25	0	0	0	0	NA	0	0	NA	0	NA	NA	NA	NA	0.25	0	0
Eya2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.5	0.25	0.25	0.25	0	0	0	0.5	0	0.25	0.25	0.75	0.25	0.5	0.25	0.25	0.5	0.5	0.5	0.25	0.25	0.75	0	0.5	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0	0
4930503E14Rik	NA	1	NA	NA	1	NA	NA	NA	NA	0.5	NA	0	0.75	1	NA	NA	1	0.5	0.5	NA	NA	1	0.5	0.25	NA	0.25	1	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.75	1	1
Scaf11	0	0	0	0	0	0	0	0.25	0.25	0.5	0	0.25	0	0.25	0.25	0.25	0	0.5	0	0	0	0.25	0.5	0	0.5	0	0.25	0.25	0	0.25	0	0	0.25	0.25	0	0.25	0.25	0.75	0	0	0.25	0.25	0	0.25	0	0.25	0	0	0
Gm19897	1	1	1	1	1	1	1	1	1	1	NA	1	1	0.25	1	1	1	0.5	0.25	0.5	0	0	0.25	0.25	0.25	0.25	1	1	NA	0.75	0.5	0.25	1	0.75	0.75	0.5	1	0.75	1	0.75	0.75	0.75	1	1	0.75	0.75	0.75	1	1
Olfr485	NA	0	0	0	NA	NA	NA	NA	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0.25	NA	NA	NA	NA	NA	0	NA	1	0	NA	1	NA	NA	NA	NA	NA	NA	0.5	NA	NA	0.75	0	0
Clybl	0	0	0	NA	0	0.5	0.25	0.5	0.5	0.25	0.25	0.25	0	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0.5	0	0.75	0.75	0	0.25	0.25	0	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.5	0.25	0.25	0	0
Hibadh	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.5	0	0	0	0	0	0.25	NA	0	0	0	0	0.25	0	0.75	0	0	0	0
Gm20556	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0.25	0.5	0.25	0.25	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0.25	0.25	0.25	0.75	0.5	0.25	NA	0.25	0	0.25	0.25	0.5	0.25	0.5	0.25	0	0
Gm20554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.25
A630077J23Rik	NA	0.75	0.75	NA	0.5	1	NA	1	0.75	NA	1	NA	0.75	0	NA	0.75	0.5	0	0.25	NA	0.25	0.5	NA	NA	NA	0.5	0.75	NA	0	0.75	0.75	0.75	0.75	1	1	0.75	0.75	NA	NA	0.75	0.75	0.75	NA	NA	NA	NA	0.75	0.5	0.5
1700021N21Rik	0	0	0.25	0.25	0.25	0	0	NA	0	0	0.75	0	0	0.5	0	0.25	0	0.25	0.25	NA	NA	0.25	0.25	0.25	0.5	0.25	0.5	NA	0.25	0.25	0.75	0	0.25	NA	0.25	0.5	0.5	NA	1	0.5	0.25	0.25	1	0.5	0.25	0	0.5	0	0
Capn15	1	1	1	1	1	1	1	NA	1	1	1	1	1	0.25	0.5	0.5	0.25	0.5	0	0.75	NA	0	0.25	0	NA	0.25	1	1	0.75	0.75	0.75	0	0.75	0.75	0.75	1	0.75	0.75	0.5	1	0.75	0.75	1	0.75	0.75	1	0.75	1	1
Capn13	NA	NA	0	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	0.5	NA	0.5	NA	NA	0	0	0.5	0	NA	0.25	1	NA	0.5	NA	0.5	0	1	1	1	1	NA	NA	NA	1	NA	1	NA	NA	1	0.75	0.75	0.25	0
Capn12	0.25	0	0	0	0.25	0	NA	0	1	0	0	0.75	0.25	0.75	0.25	NA	1	0.25	1	0.5	0	0	NA	NA	0.5	0.25	1	0.75	0.25	0.5	0.25	0	0.75	1	0.5	0.5	1	0.75	NA	0.75	0.25	0.5	0	0.5	1	0.75	0.75	0	0.25
Capn11	1	0.75	1	NA	1	1	1	1	0.75	1	1	1	1	0.75	0.75	0.75	0	0.25	0.25	0.25	0.25	NA	0	0	NA	0.25	1	0.75	0.25	0.75	1	0	1	NA	0.75	0.5	NA	NA	1	0.75	1	0.75	1	0.5	1	1	0.75	0.75	1
Capn10	0	0	0	NA	0	0	NA	0	0	0	0	0.25	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0.25	0.75	0	1	1	0	0.25	0	0.75	0.25	0	0.75	0	0.75	0.25	0.5	0	0.25	0	0
Postn	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0.5	NA	1	NA	NA	0	0	0.25	NA	NA	NA	1	0.25	1	NA	NA	1	0.25	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	1	NA	NA	NA	0.75	0	0
Fut4-ps1	0	0	0.25	0.25	0	0	0	0	0	NA	NA	0	0	0.25	0.25	0.5	0.75	0.25	NA	0.75	0.25	0.5	0.25	0	0	0.25	1	1	0.25	0.75	NA	0.5	1	1	0.75	0.75	1	0.25	1	0.75	0.75	0.75	0.75	1	0.5	0.75	0.75	0	0
Kif21a	0	0	0.25	0	0	0	0.5	0	0	0	0	0.25	0	0	0.5	0	0	0	0.5	0.25	0	0	0	0.5	0	0	0.25	0	0.25	0.25	0.25	0	0.75	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Brinp2	0	0	0	0	0	0	0	0	0.25	1	0	0	0	0.25	NA	NA	0.25	0	0	0	0.75	0	0	0	0	0	0	0	0	0.25	0	NA	1	0	0	0.5	0.25	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0	0
Brinp1	0	0	0	0	0.25	0	NA	NA	0.25	0	NA	0	0	0.25	0.5	0.75	0.5	0.75	0.75	0	1	0.5	0.5	1	0	0	0	0	0	0	1	0.5	0.5	0.75	1	0.75	0.25	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0
Kif21b	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.5	0	0	0	0.5	0.25	0.25	0.25	0.25	0	0.25	0.5	0	0.25	0.75	0	0.75	0	0.25	0.5	0.25	0.25	0.75	0.75	0.5	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0
Tlk1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	NA	0	0.75	0	0.25	0	0	0	0.25	0	0.5	0	0	0.25	0	0	0	0	0.75	0	0	0	0.75	0	0.25	0	0.5	0	0	0	0.25	0.25	0	0	0.25
Vsnl1	0	0	0	NA	0	0	NA	0	0	0	0	NA	0	0.25	0.25	0.25	0	1	0.25	NA	0	0.25	0.5	0	NA	0	0.25	0.5	0.25	0.25	0.25	0	0.5	0	0	0.25	0.75	0.25	0	0.25	NA	0.5	0.5	0.5	1	0.25	0.25	0	0
Tlk2	0.25	0	0.25	0	0	0.25	0	0	0.75	0.25	0	0	0.25	0	0.25	0	0	0	0.25	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	0.25
1810013A23Rik	1	1	1	1	0.75	1	NA	1	1	1	1	0.75	1	0.25	NA	0.5	0.25	0.25	0.25	0.5	0	0	0	NA	0.25	0.25	1	1	NA	0.25	0.75	0.5	1	1	0.75	0.75	1	0.5	0.25	0.75	0.5	0.75	0.75	0.25	0.75	0.75	0.5	1	1
Mre11a	NA	0	0	0	0.25	0	NA	NA	NA	NA	NA	0	0	NA	NA	0	0.5	0.25	0.75	0.25	0.25	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	NA	0.75	0	0	0	0	0.75	0	0.75	0.25	0.75	0.25	0	0	0.25
Npas4	0	0	0	0	0	0	0.25	0	0	0	0	0.5	0	0	0	0.25	0	0.25	0.25	0.25	0	0.25	0	1	0.25	0	0.75	NA	0.5	0	0	0.25	0.5	0.25	0.25	0	0.25	0.25	0	0.25	0.5	0.25	0.25	1	0.25	0.25	0.25	0	0
Npas3	0	0	0	0	0	0	0	0	0.25	0.5	0.25	0	0	0.25	0.5	0.25	0.25	0	0	0	0	0.25	0.25	0.5	0	0	0	0.25	0	0	0.25	0.25	0	0.75	0	0	0.25	0.5	0.25	0	0.25	0.5	0	0.5	0	0.25	0	0	0
Npas2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0.25	0.25	0	0	0.25	0	0.25	0	0	0	0	0
Npas1	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0.25	1	0.25	0.25	0	0.75	0.25	0.25	0	0.25	0.25	0.25	0.25	0.75	0.25	0.25	0	0.25	0.25	0.25	0	0
Vwa5b2	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0.25	0	0	0.25	NA	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0
Vwa5b1	0	0.25	0.25	NA	0	0.25	NA	0	0.5	0.25	0	0	0.25	0.75	1	1	0.25	1	1	1	0.5	0.5	1	0.25	1	0.5	1	1	1	0.75	1	0	1	1	0.75	1	1	1	0.75	1	1	1	1	1	1	1	0.75	0	0
