mES_Serum_r1	mES_Serum_r2	mES_2i_r1	mES_2i_r2	mES_2i3p_r1	mES_2i3p_r2
9930111J21Rik1	0.289422	9.21064	0	1.42904e-06	0.12857	2.49295e-06
9930111J21Rik2	0.0916765	0	0	0.150801	69.1413	67.891
Tgtp1	0.380545	0	7.31684e-06	0.17766	0	0
Olfr1395	0	0.314087	1.61419e-06	0	0	0
Btnl9	0	0.375167	0.172892	0	0	0
Olfr1394	0	0.0487507	0	0	0.000122429	0.000339808
Olfr56	0	4.2173	0	0	0	0
Ifi47	0.287081	0	0	0	0	0
Tgtp2	0.335408	0	0	0	0	0
Olfr1396	0.136483	0	0	8.34016	8.52081	0
Olfr1390	0	0.0195186	6.54635	3.07231	0	0
Olfr1393	0	0	0	0	0	8.71494
Olfr1389	0	0	0	0	0	0
Olfr10	0	0	0.231333	0.239882	0	0
Olfr1392	0	0.0219093	0	0	0	0
Olfr1391	0	0	5.36103	0	0	0
Olfr1388	0	0.0386623	0	0	0	5.42349
Mgat1	3.57219	0.0173705	0	0	0	0
Zfp62	11.1424	8.91048	0	0	0	0.602371
Olfr1385	0	0	0	0	0	6.1548
Olfr1384	0	0.0220896	0	0	0	0
Olfr1387	0	0	0	0	0.227934	0
Olfr1386	0	0.243441	0	0	0	0
Olfr1382	0	0.0876371	0	0	0	0
Olfr1383	0.072492	1.2279	0	0	7.95073	0
Olfr1381	0	0	0	0.150449	0	0
Scgb3a1	0	0.218768	0	0	0.80903	0
Olfr1380	0	0.332475	0.470448	0.432052	7.17833	0.222386
Flt4	0.521362	0	0	0	0	0
Cnot6	13.2337	19.6427	847.932	14.9194	21.1701	16.7139
Rasgef1c	0.154762	0.110333	0	0	919.855	21.4185
Gfpt2	30.7159	4.68905	0	955.01	0	0.123524
Gnb2l1	800.396	0	12.952	0	0	3.7153
Snord96a	0	40.3867	24.7089	0	23.7135	0
Snord95	0	9.04092	0.118659	28.4603	0	4.66914
Tbc1d9b	5.27467	7.81971	7.69453	9.54573	5.52872	4.21515
3010026O09Rik	7.68807	6.0443	0	6.8325	4.86793	9.6679
Rnf130	11.7338	0.582681	6.9513	12.9861	0	0
Mir340	0	15.1323	4.172	0	9.64531	7.12992
Mapk9	8.3766	104.222	10.0798	7.00173	4.09109	1009.2
Ltc4s	0	12.0711	0	0	0.23484	0
Mgat4b	9.07769	1575.93	8.69842	8.44585	7.90165	0
Sqstm1	89.7676	836.219	3.60553	5.29711	9.00564	6.93117
Maml1	10.2618	82.204	69.3422	69.5194	108.185	83.0866
Mir804	0	0	0	0	0	0
Adamts2	0.682975	6.08357	0.682374	0.813127	7.65474	1.45526
Rufy1	6.25873	0.537835	5.92216	8.02271	2.04761	7.00962
Zfp354c	4.18705	2.72382	130.977	2.65765	4.0332	3.69033
Zfp879	0.190928	0.204267	0	0.100308	0.0222146	0.28565
Grm6	0.0763002	0.563959	0.109773	0	0.207727	0
Zfp454	2.38775	1.97898	3.12813	0.0536022	0.219944	3.06406
Prop1	0	0.567792	1.56956	2.02863	0.75509	0
Olfr1378	0	0.0944495	0	0	0	0
Olfr1377	0	0	0	0	2.66823	0.439747
Zfp354b	0.321524	0.287886	0	143.207	0	1.0499
Olfr51	0	2.15767	0.264063	0.144821	0	0
Olfr54	0	0	0	0	0	0
Zfp354a	1.59228	0	0	4.24445	0	0
BC049762	0	0	1.67164	0	0.133897	0
Zfp2	5.21323	0.141433	0	0	4.68357	3.90576
Col23a1	0.172929	0	3.4051	1.70639	0.218389	0.0917978
Clk4	14.1038	9.57873	114.54	11.1262	12.4101	143.608
Hnrnph1	166.036	156.666	0.485476	0.445808	138.124	11.6647
0610009B22Rik	24.1389	130.799	9.04749	125.87	21.3504	158.089
Canx	132.945	17.4599	20.8337	16.3765	12.9283	12.5067
N4bp3	8.72567	37.6122	6.44749	6.06924	0.596844	0.739981
D930048N14Rik	1.00985	3.19113	0.449207	0.205775	98.6835	23.2966
Nhp2	66.8522	20.7246	94.0551	2.88691	20.4825	81.8725
Rmnd5b	15.9415	277.721	12.8364	102.193	6.15075	17.4852
Sec24a	6.37916	39.1406	3.79961	15.4079	22.9638	5.96471
Sar1b	26.4015	6.78448	1.75742	21.4529	5.04182	25.7903
Phf15	5.53408	38.6696	26.2476	2.13978	163.375	4.25026
Cdkn2aipnl	38.7135	15.4481	39.4346	44.1889	47.4985	42.8911
Ube2b	36.4961	12.8547	30.0032	31.0645	20.4867	21.721
Cdkl3	2.29609	2.00672	1.64157	1.49428	1.30977	0.967266
Mir3061	0	0	0.465301	0	0	1.49235
Olfr1373	0	0	0	0	0	241.638
Olfr1371	0	0.472657	0	0	0.0584698	0
Olfr1372-ps1	1.65091	0	0	0.211871	0	0
Agxt2l2	2.61482	3.27465	2.86537	125.077	127.369	0
Hnrnpab	237.481	435.064	226.824	2.74235	1.67637	0.161536
Ppp2ca	133.583	159.073	120.764	252.709	248.868	126.262
Tcf7	21.6217	123.994	24.9272	30.2017	25.1053	20.8968
Skp1a	133.417	40.4787	198.784	235.779	183.894	178.459
9530068E07Rik	11.3417	0	0	11.3329	0.0629158	0
Fstl4	0.108229	13.8695	14.4306	0.303712	22.4179	18.1907
Vdac1	227.276	313.145	260.517	293.534	327.029	304.566
Zcchc10	22.7367	24.7326	18.7422	19.0669	24.2636	25.3289
Leap2	0	0	0	0	0	0
Gdf9	0	0.18697	0	0.138078	0	0.0367794
Shroom1	0.203558	0.261154	0.233929	107.545	0.11432	0.0789309
Sowaha	0.12307	0.1602	0.070706	14.1805	0.0887794	0.040565
Uqcrq	96.7754	5.92029	116.332	0.129598	136.061	145.612
Il4	0	0	0	0.499961	0	0
Il13	0	3.7639	14.5491	124.71	0	8.14312
Sept8	7.17662	263.478	7.19262	7.96999	9.74118	0
Kif3a	4.61133	0	0	0	3.64556	2.89771
Il5	0	26.8509	3.91454	0	0	21.3836
Rad50	20.9516	0	0	4.48214	9.19316	0
Gm12216	0	145.527	0	0	0	8.5622
Slc22a5	2.23998	9.92912	13.2013	12.8339	25.8028	0
Slc22a21	0.293271	0	107.696	0	1.62677	11.615
Slc22a4	0.153552	2.10124	0	11.5425	0.196836	1.23468
Aff4	34.5052	0.0781968	2.1789	2.23642	0.0890515	0.310956
Il3	0	0.299583	11.0248	0.176029	2.04535	2.20361
Irf1	13.2812	2.35643	0.134906	0.107514	14.5286	129.956
Pdlim4	1.83299	18.9704	3.48061	4.27198	0	0.0612772
Hspa4	137.249	0	0	0	0	0
Csf2	0.127822	7.6365	0	0	0.62042	0
P4ha2	5.95585	0	0	0	0	0
4930404A10Rik	0	0	7.22747	7.34793	14.1089	10.3204
Acsl6	2.59867	1.03199	1.94948	2.7909	142.386	0.689714
Fnip1	13.224	2.60032	7.37492	8.26793	9.45149	9.27745
Rapgef6	4.8463	5.68768	5.27784	5.323	6.49395	5.91122
Gm12228	0	0	0	0	0	0
Lyrm7	1.33166	0.748495	18.1947	2.1253	1.20437	1.08426
Cdc42se2	23.2454	27.7164	1.34783	23.9725	27.8288	23.579
Hint1	205.479	12.4017	291.161	270.768	7.40394	5.48988
Gpx3	11.5209	316.646	3.03175	8.97479	289.739	288.259
Ccdc69	0	24.0449	0.200173	0.181684	0	0
Slc36a2	0	0.0793188	5.95344	0	0.0588444	0
Gm2a	4.7159	0	22.5478	5.62447	0.102794	0
Slc36a3	0	5.13771	0	0	6.78916	0
Fat2	0.0221148	0.15162	27.6396	0	3.95329	5.63538
Slc36a1	2.23549	0.0475445	0	2.57541	33.6348	2.42308
Tnip1	17.2403	3.50052	0.0169234	19.6087	0.0387423	25.0164
Anxa6	19.507	52.2115	2.18718	24.8122	30.0418	30.1445
Atox1	53.4474	187.36	94.027	91.6025	99.0733	83.9874
Sparc	66.3748	95.2765	72.5484	75.3389	0	0
Glra1	0.175533	0.0267027	0	0	0.0335982	0
Nmur2	0	0	0	0	0	0
Gria1	0	0.00589305	0.0441342	0.040528	8.28346	272.195
Fam114a2	20.3398	7.34877	112.21	2.80485	309.765	18.8606
Mfap3	9.35224	22.4719	0	0.130434	19.3061	6.79287
Hand1	0.310919	14.1903	0.143098	12.1491	4.07893	0
Sap30l	7.13752	6.03926	2.84211	7.35509	0.108003	3.12344
Galnt10	3.29123	0.113855	7.07245	20.3747	10.3949	8.56212
G3bp1	126.257	277.519	10.1148	138.325	187.923	149.89
Gm12238	28.258	0	18.551	0	0	0
Cnot8	38.932	33.624	30.5632	33.614	36.8825	29.6178
Gm12250	0.0841856	2.37714	36.1581	39.3715	0.146678	0.302157
Mrpl22	40.0836	1.01568	0	0.0885216	9.80942	47.6723
Irgm2	1.25361	0.360506	2.39738	2.79429	43.995	10.0192
Igtp	2.05502	54.0977	1.31287	41.7256	5.8155	54.1833
1810065E05Rik	0	15.4905	40.2223	1.67081	0	4.68571
Gm12253	0	0	3.61122	0	6.9036	2.61959
Lypd8	0	1.79819	5.83307	5.82503	0.911916	4.1215
Sh3bp5l	4.4916	0	2.86713	0	0	0
Zfp692	6.15635	0	0	0	0	0
Zfp672	2.07325	0	0	2.03173	6.75032	5.32711
4930504O13Rik	0	0	0	0	0	0
Olfr332	0	0.0108221	0	5.27262	0	0
Olfr30	0	14.0784	0	0	0	0
Olfr331	0	0	0	0	0	0
Olfr325	0	0	0	0	0	0
Olfr330	0	0	0	17.1808	0	0
Olfr329-ps	0	0	16.4207	0	0	0
Olfr328	0	0	0	0	66.2049	0
Olfr224	0	0	0	0	0	0
2210407C18Rik	0	0	0	0	0	0
Olfr324	0	0.0366287	0	0	0	0
Olfr323	0	0.0109995	0	0	0	0
Olfr320	0	0.0161735	0	0	0	0
Olfr322	0	0	0	0	0	0
Trim58	0.0529432	0	0	0	0	0
Larp1	81.5227	0	0	0	0	0
Olfr312	0	0	0	0	0	0
Olfr319	0	0	0	0	0	0
Fam183b	0.72292	0	0	0	0	0
Olfr313	0	0	0	0	0	0
Olfr318	0	0	0	0	0	0.442444
Olfr316	0	0	0	0	0	0
Olfr314	0	0.00958501	0	0	0	1.97931
Olfr317	0	0	0	0	0	0
Olfr315	0	1.6371	0.843408	0	0	0
Olfr311	0	0	0	0.611299	0	3.33715
2810021J22Rik	1.90307	0	1.2344	0	0	0
Btnl10	0	129.183	0	0	1.85867	0
Zfp39	3.21949	1.88103	0	1.88819	2.88531	0
Gemin5	22.358	41.4887	3.27342	2.88109	19.3772	17.3891
Hist3h2ba	5.27961	0.427174	3.5868	0	0	0
Hist3h2bb-ps	0.206568	4.26684	0.96659	2.1085	0.434213	0.626065
Rnf187	42.7776	0.0870928	0	1.6085	0.0619393	38.2306
Trim17	0	3.33279	1.89936	54.3823	1.8998	0
Hist3h2a	4.13235	0.0326396	45.3639	0	0	1.8364
Gjc2	0	0.0461731	3.30939	0	49.0568	5.22908
Trim11	2.7234	10.2052	0.694798	0	6.83896	0.0106989
Iba57	0.879653	2.74581	0.122822	5.61253	1.10411	0
Obscn	0.0271397	131.865	0.0105472	0.926711	0.0464309	1.01843
2610507I01Rik	0.622688	0.551763	0.626279	0.736907	0.407047	0.465504
Mrpl55	16.4571	36.3809	25.2399	30.9272	27.8866	11.4543
Guk1	31.0628	77.1001	10.8102	9.36086	11.3499	23.6349
2310033P09Rik	11.7238	27.2807	37.9469	38.3778	27.0537	27.4991
Wnt3a	0.04128	0.782923	0	0.173643	0	0
Prss38	0.102145	0.0310253	0.189816	0.923436	0.0719318	0.197537
Wnt9a	1.0797	0.826447	0.697938	0	0.647503	0.322739
Zfp867	4.58486	1.16327	132.521	3.03401	18.0912	1.21377
Snap47	32.7117	43.6776	19.6007	20.7	1.74286	2.91704
Jmjd4	3.85184	6.9024	2.86012	0	4.20401	14.9999
Nlrp3	0.0550217	0	0	0	0	0
Olfr223	0	0	2.76726	0.0579649	0.0480425	0
Olfr222	0	0	0	0	0	0
Olfr225	0	0.0421467	0	2.74204	0	0
Pld6	1.88554	183.936	0	3.52894	14.2046	1.93718
Arf1	99.4108	29.4454	13.6567	143.496	0.278763	132.233
Zkscan17	16.0848	0.751133	0	15.0363	2.10357	12.2091
4933439C10Rik	0.442399	4.2512	2.48	0.266352	145.99	13.0675
Flcn	13.0265	15.8817	9.40424	9.69138	13.6366	0.227859
Nt5m	1.15057	2.27322	1.54675	1.20147	1.49089	0.460662
Pemt	3.37636	4.63021	59.21	7.68462	3.74911	4.89286
Mprip	12.6825	11.8403	6.63494	66.3126	7.89396	53.789
Med9	6.80935	0.435483	9.0281	7.4011	0.260584	13.0155
Rasd1	0.151281	63.4385	0.352348	0.314818	63.2725	7.07044
Cops3	61.4166	22.9434	13.976	15.3562	15.7197	0.0901514
Lrrc48	2.48415	1.49642	1.30706	0.935065	0.995432	0.763269
Tom1l2	2.63074	3.74131	2.61037	9.32254	11.4407	2.33303
Atpaf2	11.0496	19.0171	13.8432	1.24761	2.88015	10.3488
Rai1	3.26243	7.25834	1.02612	11.0742	2.17446	1.43566
Srebf1	6.58918	23.7139	7.161	3.21979	19.2582	16.3296
Gid4	19.0905	15.2526	9.54241	14.6431	12.7634	11.8989
Myo15	0.121971	0.0249246	0	0	0.00795737	0.0161601
Drg2	28.4313	56.3863	32.8045	37.4737	44.5647	35.5919
Alkbh5	14.8579	24.9126	14.8205	17.3006	23.2954	22.0641
Top3a	6.86139	8.56014	4.16366	6.44429	6.00526	4.61545
Smcr7	2.178	0	2.92156	2.8615	0	0
Mir5100	0	8.47997	0	0	7.72607	6.7813
Smcr8	8.05848	8.98326	8.42838	8.81266	12.4924	10.6361
Shmt1	26.3073	18.0449	12.6442	50.2334	13.9458	15.7495
Dhrs7b	14.5207	66.5802	37.2255	12.3901	1.20184	17.6483
Llgl1	11.8669	1.84282	3.78198	14.5558	52.6158	52.1058
Flii	13.0159	46.7651	29.8602	17.8372	29.6324	13.8148
Gm16516	1.39202	11.7801	11.4447	0.830253	8.50874	0.955682
Tmem11	31.5116	30.8839	16.3477	5.25878	19.0841	7.20189
Tnfrsf13b	0	21.5963	1.1459	33.1004	22.1637	24.519
Gm16515	11.7079	0	0	0.402639	1.21611	0.236249
Kcnj12	0.232825	0.640607	1.07084	0.587221	0	0.501556
Map2k3	13.4657	31.5133	8.14509	13.0679	19.8268	16.5094
Aldh3a1	0.15164	0.462018	0.174571	0	0.985571	0.81844
Slc47a2	0	0.0465664	0	5.8941	0.113078	0
Slc47a1	0.692405	0.399556	4.95162	21.7203	0	25.3073
Aldh3a2	7.25246	5.33013	2.97028	4.55429	0	7.08426
Rnf112	0.0760834	1.61468	0.895538	0	3.28056	0.207115
Mfap4	2.33761	44.0747	0.174901	0.101736	8.73487	0
B9d1	11.3642	2.74904	22.0253	0.454973	26.6808	2.32107
Usp22	32.2033	21.6747	9.75252	12.4923	9.52893	8.86349
Mapk7	10.8513	26.1033	8.25603	11.6997	13.4302	9.88445
Grap	0	0.0460698	0	0	0	0
Epn2	13.0033	18.7633	10.1798	11.6571	0.0445042	0.067642
Slc5a10	0.255795	0.160682	0.235343	0.107462	0.460388	0.571883
Fam83g	1.83265	2.3507	2.1577	1.78695	18.5684	17.3247
Ulk2	2.71245	1.29097	1.33197	1.53892	1.32487	0.826655
Akap10	8.53082	1.86196	0.147851	0.538873	0.892349	1.00081
Adora2b	0.706675	8.71444	4.76827	7.5285	7.77428	10.1205
Specc1	5.15429	3.23238	2.53129	2.73608	1.914	1.41291
Zswim7	11.2824	28.4455	13.0565	11.2331	10.8402	7.13051
Prpsap2	31.8738	21.4534	25.7199	28.1351	24.3572	4.85284
Ttc19	7.42644	5.35301	4.82192	5.43559	5.95846	22.4732
Pigl	10.3043	19.6179	9.52269	7.9044	12.3313	9.65833
Cenpv	37.6999	65.7645	45.9909	52.8568	31.2272	29.081
Ncor1	21.4228	36.0983	14.9438	15.7945	28.8756	25.7232
Trpv2	0.619199	1.19964	0.189816	0.434107	0.899147	0.296305
Zfp287	0.784379	2.61877	0.100104	2.35879	0.925246	0.992198
Fam211a	3.54979	3.06322	2.3142	1.84235	1.7979	1.42839
Mmgt2	2.5097	0.906899	0	0.710384	0.152334	0.942105
Zfp286	1.20033	1.28103	1.73265	0.229709	1.07913	0.156172
Trim16	0.568893	0.199546	1.12095	0	1.81281	0
2410006H16Rik	201.611	0.44759	0.261447	0.599252	0	8.5099
Snord49b	0	137.685	158.596	156.938	10.2457	4.34944
Snord49a	0	480.523	0	0	0.0897626	0
Snord65	0	225.686	0	0	0	0.205089
Fbxw10	0.137217	75.6266	0	0	5.78396	0.982987
Cdrt4	0	0.12341	0	8.44127	139.833	1.42787
Tvp23b	12.5603	10.179	7.54213	0	0	142.017
Tekt3	0	0	0	0	0	0
Pmp22	2.90327	1.61011	1.51867	1.38336	0	0
Hs3st3b1	0.470327	1.5925	0.457032	0.228965	0.933287	0
2810001G20Rik	1.67602	1.93242	2.11201	0.94776	1.43521	2.02154
Cox10	11.2195	19.4743	7.69321	7.16295	10.3592	11.4452
F930015N05Rik	0	6.22647e-09	0	1.64356e-06	0	0
Hs3st3a1	0	0.146678	0	0.118661	0.0983483	0.016829
Gm12295	0	0	0	0	0	0
Myocd	0.106787	0.00674404	0	0.0463787	0	0
Dnah9	0	0	0	1.89659	0	14.0315
Elac2	14.6871	4.15353	1.61499	15.4033	2.40005	1.07007
Arhgap44	2.06252	0.60545	12.6626	2.62999	0.0126005	2.16145
Zkscan6	1.40433	0.885122	1.57987	0	16.8855	0.0859728
Shisa6	0.417635	0	0.0330717	0.0607895	1.77697	0
Tmem220	1.79539	0.858531	0.258785	1.40317	17.1001	0.269889
Gm12298	0	9.22941	0	7.1996	0	6.48843
Pirt	0.0748065	17.8378	0	0	0.290068	0
Adprm	6.47257	0	9.43514	0	6.171	0.49207
Map2k4	16.0409	0	4.4387	0.0787071	0.147437	14.8575
Mir744	0	48.476	0.0409887	796.03	0.326081	0
2310065F04Rik	0	3.56488	0	17.0518	0	0
Myh2	0	0.0036495	0.417735	0	0.15085	4.64786
Sco1	5.04869	0.0110689	0.0442037	0.270229	0	0
Myh4	0	0.749183	0	0.0150594	0.0320813	0.0342776
Myh3	0.489431	0.80068	17.4975	4.34283	6.18682	0
Myh8	0	7.96514	0	0.015225	0.0157858	0.00538705
Myh1	0.00601425	0.00184578	0	0.0380821	0	0
Rcvrn	0	0.0126336	0	0.037237	0	0
Dhrs7c	0	0.801384	0	0	0	0
Myh13	0.579489	0	0	0	4.28478	3.29123
Glp2r	0.0224804	0	0.502836	0	0	0.803019
Gas7	0.828899	0	1.35947	0.297017	1.61531	0.0215594
Usp43	1.38069	0.322015	0.848625	7.46303	0.86193	1.17838
Wdr16	0.105407	1.41314	4.20669	0.774789	0.733386	1.26207
Stx8	2.74624	2.69778	6.02393	1.61098	4.04389	3.65731
Ubb	617.5	0	0	0.372421	0	0
Pik3r5	0.201947	0.2321	0	0	0	0.0904912
Pik3r6	0	0.121255	7.75199	4.48187	0.154345	0
Ccdc42	0	0	0	0	0.0302764	0
Mfsd6l	0.28364	27.3176	0.173993	0	26.425	22.4193
Ntn1	10.0396	0.0386411	0	8.55867	0	0
Rnf222	0	13.7793	13.2126	14.322	13.9395	8.78117
Ndel1	14.5085	25.3804	19.0031	0	11.5155	13.7531
Myh10	27.3232	0	733.203	19.774	0	0
Arhgef15	0.453972	2.16031	0	0	1.70236	1.18077
Odf4	0	1.86163	0.613578	0.506442	1.97237	870.352
Slc25a35	1.03872	68.5999	1.64354	0.680629	38.9972	1.78941
Rangrf	21.5539	8.41282	18.7805	23.4833	30.5994	29.8632
Pfas	18.7526	9.74413	16.532	15.3665	0	24.6635
Mir3062	0	4.84743	0	0	3.60557	0
Tmem107	6.34466	0.0118816	2.12479	29.7488	6.76362	2.76608
2310047M10Rik	2.70361	0.590942	4.52288	1.659	32.1758	5.8296
Aurkb	18.8649	0	25.5749	20.4241	7.28501	27.206
Vamp2	6.28328	0.179125	0	8.06508	0	0.107849
Hes7	0	27.2994	5.92979	0	0	5.27302
Alox8	0.0685634	0.120042	0.103622	0	0	0
Aloxe3	0.675939	43.59	0.0787942	6.99169	0	0.0587694
Alox12b	0.245484	0.795875	0.225836	0.103158	0.117715	0
Gucy2e	0.0748424	11.2081	0.0296312	0.473654	20.3347	4.75766
Kcnab3	1.17213	11.389	19.5572	0	5.94759	0
A030009H04Rik	1.2713	0.868437	2.49778	6.14248	21.4545	3.12418
Cntrob	7.1766	57.0069	0.932998	0.663399	0.274785	0.269738
Trappc1	19.5114	37.9325	5.2821	2.98952	4.41934	0.561383
Per1	4.84552	32.1503	1.54007	0.841582	0.754823	22.8963
Cyb5d1	7.39424	0.000262274	31.9343	31.2876	8.39425	6.6501
Ctc1	19.656	1203.28	4.38725	3.52134	3.93375	3.80661
Chd3	5.5039	14.3088	4.31688	4.88736	1000.73	18.9779
Lsmd1	40.2864	6.594	5.94824	6.22113	55.6625	46.8323
Tmem88	7.52212	65.7332	52.5354	39.3403	2.59865	2.49748
Kdm6b	10.7671	11.8253	6.55266	5.3448	0.0748084	686.013
Dnah2	0.116467	0.14069	0.0713028	1.68958	1.88706	917.175
Efnb3	1.25634	2.48929	1.60428	0.0492049	496.47	8.75311
Wrap53	5.41642	23.9634	5.10991	6.65998	872.37	0.111193
Rpl26	647.981	17.6304	732.012	587.748	13.1938	0.834605
Gm15772	989.452	5.39402	1051.66	1159.16	9.1667	8.39568
Shbg	0	0	0	0	0	0
Sat2	0.626784	0.756706	0.724149	0.32472	5.12164	0
Atp1b2	9.004	0	4.73611	5.61933	0.670463	3.77607
Mir1934	0	9.09907	0	0	0	10.1622
Trp53	109.367	315.571	6.69507	8.22267	10.0802	0
Cd68	6.06485	79.7982	9.93004	35.8209	10.6399	28.656
Sox15	7.36479	0	35.3156	0	56.4947	0
Mpdu1	31.9817	15.9478	101.445	8.0276	39.8997	9.13003
Fxr2	38.8173	68.3718	33.6317	41.3518	0	57.1612
Mir467f	0	1227.11	0	106.878	206.98	177.88
Tnfsf13	1.22471	3.34353	0.0486951	0.509277	0.752539	0.70347
BC096441	1.26194	1.7525	0.782226	0.336405	0.879452	0.842701
Tnfsf12	1.83054	5.26929	1.326	1.706	1.12707	1.50997
Senp3	55.4941	162.451	0	0.170495	84.5311	79.5405
Slc35g3	0.0814851	0.0496196	0.410883	0.319563	0.0705497	0.195542
Chrnb1	2.27302	0.561788	1.12047	1.59092	1.2235	0.673728
Spem1	0	1.25632	1.56779	0	1.1562	1.62014
Zbtb4	0.743229	0.0227742	0	58.2843	0.381904	0
Fgf11	0.676437	0.877868	0	0	0	5.20028
4933402P03Rik	0	0.0388021	56.5024	3.99737	0	0
Tmem102	1.26621	2.97333	51.276	0.266504	4.12984	42.1442
G630025P09Rik	0.200015	0.0792635	2.36178	39.0042	0.828112	0.154274
Nlgn2	3.43434	8.32325	3.44421	56.2053	41.8091	0.749352
Tmem256	22.7929	65.1488	0.482037	0	7.24537	4.6248
Tmem95	0	0	0	3.06218	0	0.193921
Kctd11	1.1692	1.97983	0.67205	0.298911	1.16413	0
Acap1	1.52378	3.92456	1.3804	1.22947	2.0523	3.70243
2810408A11Rik	3.37089	2.97322	38.7096	1.35877	4.30139	1.80587
Plscr3	5.14719	8.28732	2.14648	2.70458	9.17825	16.1355
Tnk1	2.34094	6.52358	6.46926	4.73297	2.40347	7.56621
Gps2	16.3395	25.3463	2.26112	3.82981	21.2802	3.19377
Neurl4	7.09582	21.1017	7.33013	18.6729	11.6978	9.2286
Polr2a	52.1345	115.511	19.4344	8.32285	74.4765	62.278
Eif4a1	503.072	974.607	581.819	638.431	663.949	628.683
Slc2a4	0.963752	0.810856	0.461601	6.98196	2.8222	2.27371
Ybx2	11.6345	10.6319	6.25129	0.844704	0.419917	2.41899
Cldn7	29.683	24.1754	18.8427	17.7914	4.29488	0.336252
Gabarap	56.1511	57.976	73.4001	30.5234	84.9035	77.9435
Elp5	14.2782	60.1231	23.8262	89.8358	41.2014	21.8846
Ctdnep1	17.7262	6.71262	16.2346	18.5487	19.3974	25.8331
Phf23	29.9032	37.5243	16.0156	21.7716	31.0184	37.8856
Mgl2	0	10.9423	0	0	0	17.4936
Acadvl	6.73362	0	0	0	0	0.122027
Mir324	0	0	0.468179	0	0.11784	1.32885
Asgr1	0	0	0.312621	0	0.0781748	5.22485
Asgr2	0	0.137505	18.6694	0.284674	21.2029	0
Dvl2	19.8218	0.0992015	0.187599	20.4071	0	0
Clec10a	0	4.53887	1.77903	0	8.05677	0.217121
Slc16a11	0.271633	4.472	0	2.06037	0	0
Mir497	0	37.3005	1.14477	0	1.99627	0
Dlg4	3.87262	0.352052	1.04913	7.80492	1.53686	0.27288
Slc16a13	1.62926	0	6.19597	0	0	0
Mir195	0	0	0	1.02983	0	0
Bcl6b	2.54329	4.31335	0	2.47358	0.22758	0.812372
Rnasek	32.5484	0.0611031	0.606855	0	0.821913	0
Alox12e	0.0499872	0.507824	0.11497	0.952269	0.173971	0.059839
Alox12	0.490269	0.858505	0.218946	0.600217	0.0414329	0.586366
Alox15	0.761631	75.7495	69.0028	66.1036	61.5846	66.968
0610010K14Rik	35.633	69.9368	46.1838	45.0835	35.4997	24.9089
Pelp1	27.66	25.513	10.9058	16.6687	13.5391	0.993095
Arrb2	15.7694	23.5139	13.257	0	13.7994	0
Med11	14.7318	1.72058	0	1.42695	0.471651	10.1982
Gltpd2	0.211723	0.432703	0.951509	11.8926	1.42825	12.5343
Tm4sf5	0.68689	2.20249	0.244072	0.220806	0.0352753	1.00987
Vmo1	0.456847	0.160701	30.8149	31.5818	0	0
Cxcl16	5.60368	0	1.72486	1.2808	47.4581	0.127247
Zmynd15	0.302059	95.9052	0.186142	0.0851524	0	35.5529
Pld2	1.28471	1.75312	1.2077	1.72217	1.2234	0.767782
Psmb6	122.071	223.781	0	0.0875765	0.0725568	0.19927
Gp1ba	0.291487	0.484032	166.056	0	0	0
Chrne	0	0.0695025	0	0	0	0
4930544D05Rik	0	0	0	161.065	152.671	19.7427
Slc25a11	18.9521	32.9609	20.7218	24.8297	22.3931	165.594
Rnf167	13.9878	34.8562	16.9353	8.18466	23.8119	21.4804
Mink1	6.88299	17.4834	7.39004	16.5603	9.10584	7.7313
Eno3	8.77128	17.7293	8.26278	0.435106	3.54708	2.71443
Inca1	0.625683	0.379993	362.47	7.18389	0.179931	0
Camta2	1.42914	71.2596	0.480821	0	2.18292	45.5425
Zfp3	1.62603	4.02353	45.3798	1.63653	1.69372	1.4233
Scimp	0	0.0754227	2.16043	1.90804	52.4068	0
Kif1c	7.63476	1.07142	0	51.876	0	1.40303
Pfn1	328.056	14.2697	1.04784	10.2521	9.78444	7.6162
Spag7	44.3412	1320.76	10.0748	421.432	565.587	522.6
Rpain	8.30672	9.03231	10.7101	8.89931	9.87909	7.79167
Eif5a	632.642	9.14441	0	9.45648	9.7201	0.181481
Dhx33	8.22706	57.3195	7.17176	63.4729	55.1311	9.50007
6330403K07Rik	0.832241	5.04364	6.566	8.274	10.399	11.1932
Nlrp1b	0	0.875953	0.348415	6.92337	7.48049	7.82249
Nlrp1a	0	0.166651	0	0	0.262258	0.0136246
Nlrp1c-ps	0	2.67812	0	0	12.1928	0
Wscd1	1.53522	15.8799	9.90667	11.566	176.95	0.198557
Mis12	9.80793	0	0.533447	0	0	0
Aipl1	0.84942	0	1.81255	250.894	0	0.185249
Derl2	8.01851	11.0349	0	1.4258	0.00996501	161.861
Rabep1	14.2759	283.629	15.796	1.74532	0.614548	0
Nup88	48.9266	1.03501	1.81147	0.16166	0.401409	2.30973
C1qbp	174.583	0.0301001	7.48216	0	9.91664	8.43048
Fam64a	9.53405	23.0387	55.9267	18.8934	2.2881	8.27389
Pitpnm3	0.0326863	2.61123	221.743	2.03688	0.014282	48.1382
4933427D14Rik	2.16184	0.0639784	2.10436	0	0.448521	0.409909
Txndc17	30.1712	0.935371	0.236382	2.90936	8.09887	9.43832
